Start state index,Action index,Finish state index,Probability for Triple,Reward for Triple
0, 0, 1,1.0,100.0
1, 1, 2,1.0,100.0
2, 2, 3,1.0,100.0
3, 3, 4,1.0,100.0
4, 4, 5,1.0,100.0
5, 5, 6,1.0,100.0
6, 6, 7,1.0,100.0
7, 4, 8,1.0,100.0
8, 7, 8,0.5,100.0
8, 7, 9,0.5,100.0
9, 8, 10,1.0,100.0
10, 4, 11,1.0,100.0
11, 7, 12,1.0,100.0
12, 8, 13,1.0,100.0
13, 7, 14,1.0,100.0
14, 9, 14,1.0,50.0
14, 10, 15,1.0,50.0
15, 10, 15,0.6666666666666666,100.0
15, 10, 16,0.3333333333333333,100.0
16, 11, 16,0.8,41.66666666666667
16, 10, 16,0.5714285714285714,58.333333333333336
16, 10, 17,0.42857142857142855,58.333333333333336
17, 9, 17,0.75,22.22222222222222
17, 10, 17,0.7857142857142857,77.77777777777779
17, 10, 16,0.21428571428571427,77.77777777777779
16, 11, 17,0.2,41.66666666666667
17, 9, 16,0.25,22.22222222222222
18, 0, 19,1.0,100.0
19, 12, 20,1.0,100.0
20, 13, 21,1.0,100.0
21, 14, 22,1.0,100.0
22, 15, 23,1.0,100.0
23, 16, 24,1.0,100.0
24, 17, 24,1.0,50.0
24, 18, 25,1.0,50.0
25, 19, 26,1.0,100.0
26, 20, 27,1.0,100.0
27, 20, 28,1.0,100.0
28, 20, 28,1.0,50.0
28, 21, 29,1.0,50.0
29, 22, 30,1.0,100.0
30, 23, 31,1.0,100.0
31, 23, 32,1.0,100.0
32, 21, 33,1.0,100.0
33, 24, 33,1.0,50.0
33, 25, 34,1.0,50.0
34, 25, 35,1.0,100.0
35, 26, 36,1.0,100.0
36, 25, 36,1.0,3.4482758620689653
36, 27, 36,1.0,96.55172413793103
37, 0, 38,1.0,100.0
38, 28, 39,1.0,100.0
39, 29, 40,1.0,100.0
40, 30, 41,1.0,100.0
41, 31, 42,1.0,100.0
42, 32, 43,1.0,100.0
43, 33, 44,1.0,100.0
44, 34, 45,1.0,100.0
45, 35, 46,1.0,100.0
46, 36, 47,1.0,100.0
47, 37, 48,1.0,100.0
48, 38, 49,1.0,100.0
49, 38, 50,1.0,100.0
50, 38, 51,1.0,100.0
51, 38, 51,1.0,50.0
51, 39, 52,1.0,50.0
52, 39, 53,1.0,100.0
53, 39, 54,1.0,100.0
54, 39, 55,1.0,100.0
55, 39, 55,0.75,100.0
55, 39, 56,0.25,100.0
56, 39, 57,1.0,100.0
57, 39, 58,1.0,100.0
58, 40, 58,1.0,4.0
58, 41, 58,1.0,16.0
58, 42, 58,1.0,16.0
58, 43, 58,1.0,32.0
58, 44, 58,1.0,16.0
58, 45, 58,1.0,16.0
59, 0, 60,1.0,100.0
60, 46, 61,1.0,100.0
61, 47, 62,1.0,100.0
62, 48, 63,1.0,100.0
63, 49, 64,1.0,100.0
